"DEMFAM001","CO00SCR001","OPERACIÓN",0,"FLAG","co.com.experian.omnia.motorcrts.core.funciones.Flag"
"DEMFAM002","CO00SCR002","OPERACIÓN",0,"FLAG","co.com.experian.omnia.motorcrts.core.funciones.Flag"
"ENDFAM002","CO01END005CC","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005CC","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005CC","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005CC","SALDO",4,"*","*"
"ENDFAM002","CO01END005CC","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005CC","CUOTA",6,"*","*"
"ENDFAM002","CO01END005CC","CUPO",7,"*","*"
"ENDFAM002","CO01END005CC","PORTAFOLIO",8,"CARTERA COMUNICACIONES (CC)","CC"
"ENDFAM002","CO01END005CC","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005CC","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END005CO","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005CO","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005CO","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005CO","SALDO",4,"*","*"
"ENDFAM002","CO01END005CO","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005CO","CUOTA",6,"*","*"
"ENDFAM002","CO01END005CO","CUPO",7,"*","*"
"ENDFAM002","CO01END005CO","PORTAFOLIO",8,"CODEUDOR (CO)","CO"
"ENDFAM002","CO01END005CO","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005CO","LISTA SUSCRIPTORES",10,"TODOS","*"
"ENDFAM002","CO01END005HP","OPERACIÓN",1,"SUMA","co.com.experian.omnia.motorcrts.core.funciones.Suma"
"ENDFAM002","CO01END005HP","ESTADO",2,"ABIERTA","Abierta"
"ENDFAM002","CO01END005HP","VENTANA",3,"A LA FECHA","=0"
"ENDFAM002","CO01END005HP","SALDO",4,"*","*"
"ENDFAM002","CO01END005HP","SALDO MORA",5,"*","*"
"ENDFAM002","CO01END005HP","CUOTA",6,"*","*"
"ENDFAM002","CO01END005HP","CUPO",7,"*","*"
"ENDFAM002","CO01END005HP","PORTAFOLIO",8,"HIPOTECARIO (HP)","HP"
"ENDFAM002","CO01END005HP","TIPO SUSCRIPTOR",9,"POBLACION","*"
"ENDFAM002","CO01END005HP","LISTA SUSCRIPTORES",10,"TODOS","*"
